data,talhao,loc,solo,cultura,cenario,precipitacao,temperatura,graus_dia,evapotranspiracao,coeficiente_cultura,umidade_solo,agua_disponivel,irrigacao_aplicada,estagio_fenologico,estresse_hidrico,produtividade,decisao_hydros
15/08/1978,U01,U01,IBSB910015,soja,irrigado,7,24.4,14.4,5.09,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
16/08/1978,U01,U01,IBSB910015,soja,irrigado,0,24.7,14.7,5.19,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
17/08/1978,U01,U01,IBSB910015,soja,irrigado,0,25.1,15.1,5.31,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
18/08/1978,U01,U01,IBSB910015,soja,irrigado,0,25.5,15.5,5.42,1.05,0.07,0,13,florescimento,1,0,iniciar_irrigacao
19/08/1978,U01,U01,IBSB910015,soja,irrigado,0,25.8,15.8,5.51,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
20/08/1978,U01,U01,IBSB910015,soja,irrigado,0,26.2,16.2,5.61,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
21/08/1978,U01,U01,IBSB910015,soja,irrigado,0,26.6,16.6,5.71,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
22/08/1978,U01,U01,IBSB910015,soja,irrigado,9,26.9,16.9,5.78,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
23/08/1978,U01,U01,IBSB910015,soja,irrigado,0,27.2,17.2,5.84,1.05,0.07,0,13,florescimento,1,0,iniciar_irrigacao
24/08/1978,U01,U01,IBSB910015,soja,irrigado,0,27.5,17.5,5.9,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
25/08/1978,U01,U01,IBSB910015,soja,irrigado,0,27.8,17.8,5.95,1.05,0.07,0,13,florescimento,1,0,iniciar_irrigacao
26/08/1978,U01,U01,IBSB910015,soja,irrigado,0,28,18,5.97,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
27/08/1978,U01,U01,IBSB910015,soja,irrigado,0,28.1,18.1,5.98,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
28/08/1978,U01,U01,IBSB910015,soja,irrigado,26,28.3,18.3,5.99,1.05,0.07,0,11,florescimento,1,0,iniciar_irrigacao
29/08/1978,U01,U01,IBSB910015,soja,irrigado,0,28.4,18.4,5.98,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
30/08/1978,U01,U01,IBSB910015,soja,irrigado,0,28.5,18.5,5.96,1.15,0.07,0,11,enchimento_graos,1,0,iniciar_irrigacao
31/08/1978,U01,U01,IBSB910015,soja,irrigado,0,28.6,18.6,5.93,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
1/9/1978,U01,U01,IBSB910015,soja,irrigado,0,28.6,18.6,5.89,1.15,0.07,0,11,enchimento_graos,1,0,iniciar_irrigacao
2/9/1978,U01,U01,IBSB910015,soja,irrigado,0,28.6,18.6,5.84,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
3/9/1978,U01,U01,IBSB910015,soja,irrigado,0,28.7,18.7,5.8,1.15,0.07,0,11,enchimento_graos,1,0,iniciar_irrigacao
4/9/1978,U01,U01,IBSB910015,soja,irrigado,0,28.7,18.7,5.74,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
5/9/1978,U01,U01,IBSB910015,soja,irrigado,0,28.8,18.8,5.69,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
6/9/1978,U01,U01,IBSB910015,soja,irrigado,0,28.8,18.8,5.63,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
7/9/1978,U01,U01,IBSB910015,soja,irrigado,0,28.9,18.9,5.58,1.15,0.07,0,11,enchimento_graos,1,0,iniciar_irrigacao
8/9/1978,U01,U01,IBSB910015,soja,irrigado,9,29,19,5.53,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
9/9/1978,U01,U01,IBSB910015,soja,irrigado,0,29.2,19.2,5.49,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
10/9/1978,U01,U01,IBSB910015,soja,irrigado,0,29.3,19.3,5.44,1.15,0.07,0,11,enchimento_graos,1,0,iniciar_irrigacao
11/9/1978,U01,U01,IBSB910015,soja,irrigado,10,29.5,19.5,5.41,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
12/9/1978,U01,U01,IBSB910015,soja,irrigado,0,29.7,19.7,5.38,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
13/09/1978,U01,U01,IBSB910015,soja,irrigado,0,30,20,5.37,1.15,0.07,0,8,enchimento_graos,1,0,iniciar_irrigacao
14/09/1978,U01,U01,IBSB910015,soja,irrigado,0,30.2,20.2,5.35,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
15/09/1978,U01,U01,IBSB910015,soja,irrigado,0,30.5,20.5,5.35,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
16/09/1978,U01,U01,IBSB910015,soja,irrigado,0,30.7,20.7,5.34,1.15,0.07,0,8,enchimento_graos,1,0,iniciar_irrigacao
17/09/1978,U01,U01,IBSB910015,soja,irrigado,0,30.9,20.9,5.33,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
18/09/1978,U01,U01,IBSB910015,soja,irrigado,0,31.2,21.2,5.35,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
19/09/1978,U01,U01,IBSB910015,soja,irrigado,0,31.3,21.3,5.34,1.15,0.07,0,8,enchimento_graos,1,0,iniciar_irrigacao
20/09/1978,U01,U01,IBSB910015,soja,irrigado,0,31.5,21.5,5.35,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
21/09/1978,U01,U01,IBSB910015,soja,irrigado,0,31.6,21.6,5.36,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
22/09/1978,U01,U01,IBSB910015,soja,irrigado,0,31.6,21.6,5.36,1.15,0.07,0,8,enchimento_graos,1,0,iniciar_irrigacao
23/09/1978,U01,U01,IBSB910015,soja,irrigado,0,31.6,21.6,5.36,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
24/09/1978,U01,U01,IBSB910015,soja,irrigado,0,31.6,21.6,5.37,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
25/09/1978,U01,U01,IBSB910015,soja,irrigado,4,31.5,21.5,5.37,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
26/09/1978,U01,U01,IBSB910015,soja,irrigado,0,31.3,21.3,5.37,1.15,0.07,0,7,enchimento_graos,1,0,iniciar_irrigacao
27/09/1978,U01,U01,IBSB910015,soja,irrigado,0,31,21,5.35,1.15,0.07,0,0,enchimento_graos,1,0,iniciar_irrigacao
28/09/1978,U01,U01,IBSB910015,soja,irrigado,0,30.7,20.7,5.34,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
29/09/1978,U01,U01,IBSB910015,soja,irrigado,0,30.4,20.4,5.34,0.8,0.07,0,8,maturacao,1,0,iniciar_irrigacao
30/09/1978,U01,U01,IBSB910015,soja,irrigado,0,30,20,5.32,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
1/10/1978,U01,U01,IBSB910015,soja,irrigado,0,29.5,19.5,5.3,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
2/10/1978,U01,U01,IBSB910015,soja,irrigado,0,29.1,19.1,5.29,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
3/10/1978,U01,U01,IBSB910015,soja,irrigado,0,28.6,18.6,5.27,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
4/10/1978,U01,U01,IBSB910015,soja,irrigado,0,28.1,18.1,5.26,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
5/10/1978,U01,U01,IBSB910015,soja,irrigado,0,27.7,17.7,5.26,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
6/10/1978,U01,U01,IBSB910015,soja,irrigado,0,27.2,17.2,5.25,0.8,0.07,0,7,maturacao,1,0,iniciar_irrigacao
7/10/1978,U01,U01,IBSB910015,soja,irrigado,14,26.8,16.8,5.25,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
8/10/1978,U01,U01,IBSB910015,soja,irrigado,0,26.4,16.4,5.25,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
9/10/1978,U01,U01,IBSB910015,soja,irrigado,0,26,16,5.25,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
10/10/1978,U01,U01,IBSB910015,soja,irrigado,0,25.7,15.7,5.26,0.8,0.07,0,8,maturacao,1,0,iniciar_irrigacao
11/10/1978,U01,U01,IBSB910015,soja,irrigado,0,25.4,15.4,5.27,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
12/10/1978,U01,U01,IBSB910015,soja,irrigado,9,25.2,15.2,5.3,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
13/10/1978,U01,U01,IBSB910015,soja,irrigado,0,25.1,15.1,5.33,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
14/10/1978,U01,U01,IBSB910015,soja,irrigado,0,25,15,5.36,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
15/10/1978,U01,U01,IBSB910015,soja,irrigado,0,24.9,14.9,5.39,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
16/10/1978,U01,U01,IBSB910015,soja,irrigado,0,24.9,14.9,5.42,0.8,0.07,0,0,maturacao,1,0,iniciar_irrigacao
17/10/1978,U01,U01,IBSB910015,soja,irrigado,0,24.9,14.9,5.45,0.8,0.07,0,0,maturacao,1,3420,iniciar_irrigacao
15/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,9,27.8,17.8,5.35,0.4,0.173,54.7,0,germinacao,0.06,0,manter
16/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,28.3,18.3,5.49,0.4,0.107,5.3,0,germinacao,0.66,0,iniciar_irrigacao
17/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,8,28.8,18.8,5.64,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
18/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.2,19.2,5.77,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
19/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.6,19.6,5.89,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
20/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,30,20,6.02,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
21/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,16,30.4,20.4,6.14,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
22/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,30.6,20.6,6.22,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
23/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,30.9,20.9,6.31,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
24/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,31.1,21.1,6.38,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
25/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,31.2,21.2,6.43,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
26/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,31.2,21.2,6.46,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
27/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,5,31.2,21.2,6.48,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
28/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,31.2,21.2,6.49,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
29/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,31.1,21.1,6.48,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
30/06/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,31,21,6.46,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
1/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,30.8,20.8,6.42,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
2/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,9,30.7,20.7,6.38,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
3/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,22,30.5,20.5,6.33,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
4/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,30.3,20.3,6.26,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
5/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,30.2,20.2,6.21,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
6/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,30,20,6.13,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
7/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.8,19.8,6.05,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
8/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.7,19.7,5.98,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
9/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.6,19.6,5.91,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
10/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.5,19.5,5.83,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
11/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.5,19.5,5.77,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
12/7/1978,U01,U01,IBSB910015,soja,sem_irrigacao,12,29.4,19.4,5.69,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
13/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.4,19.4,5.62,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
14/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.4,19.4,5.56,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
15/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.4,19.4,5.49,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
16/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.4,19.4,5.43,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
17/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.4,19.4,5.36,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
18/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.4,19.4,5.3,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
19/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,9,29.3,19.3,5.23,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
20/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.2,19.2,5.16,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
21/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29.1,19.1,5.1,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
22/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,29,19,5.05,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
23/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,28.8,18.8,4.98,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
24/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,28.6,18.6,4.92,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
25/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,28.3,18.3,4.85,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
26/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,28,18,4.79,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
27/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,27.6,17.6,4.72,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
28/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,27.2,17.2,4.65,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
29/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,26.8,16.8,4.6,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
30/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,18,26.4,16.4,4.55,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
31/07/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,26,16,4.51,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
1/8/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,25.6,15.6,4.47,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
2/8/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,25.2,15.2,4.44,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
3/8/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,24.8,14.8,4.42,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
4/8/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,24.5,14.5,4.42,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
5/8/1978,U01,U01,IBSB910015,soja,sem_irrigacao,9,24.2,14.2,4.43,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
6/8/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,23.9,13.9,4.43,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
7/8/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,23.7,13.7,4.46,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
8/8/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,23.6,13.6,4.51,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
9/8/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,23.5,13.5,4.56,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
10/8/1978,U01,U01,IBSB910015,soja,sem_irrigacao,0,23.5,13.5,4.62,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
