data,talhao,cultura,loc,solo,precipitacao,temperatura,graus_dia,evapotranspiracao,coeficiente_cultura,umidade_solo,agua_disponivel,irrigacao_aplicada,estagio_fenologico,estresse_hidrico,produtividade
2026/01/21,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,34,38,27,4.6,1.2,45,58,28,R3,moderado,2408
2026/01/22,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,34,31,27,4.3,0.96,39,88,19,V5,moderado,3072
2026/01/23,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,38,21,4.4,1.14,34,97,10,R4,moderado,3400
2026/01/24,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,15,34,26,5.6,0.85,49,41,1,V3,moderado,2341
2026/01/25,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,10,28,27,7.3,1.1,70,128,32,R3,baixo,3765
2026/01/26,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,5,33,28,4.0,0.75,20,116,26,R5,moderado,3107
2026/01/27,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,30,19,6.3,0.94,21,29,5,R4,alto,2577
2026/01/28,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,7,30,20,3.2,0.8,25,47,33,R2,moderado,3452
2026/01/29,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,5,39,20,2.9,0.78,52,50,11,R1,moderado,3443
2026/01/30,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,17,26,19,6.2,0.96,68,78,25,R2,moderado,3938
2026/01/31,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,17,39,19,5.3,1.13,51,87,25,V3,moderado,2456
2026/02/01,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,9,32,24,5.0,1.17,25,85,23,R2,moderado,4120
2026/02/02,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,10,32,27,6.9,0.89,39,105,9,R4,moderado,3907
2026/02/03,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,24,29,17,3.9,1.06,72,91,35,R1,baixo,4023
2026/02/04,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,24,25,16,2.9,0.95,50,54,12,V3,moderado,2884
2026/02/05,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,37,17,5.2,0.71,59,35,3,R5,moderado,2256
2026/02/06,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,3,31,24,3.7,1.2,45,31,27,V3,moderado,4450
2026/02/07,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,25,26,29,5.4,0.91,27,77,19,V4,moderado,2700
2026/02/08,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,0,26,21,5.2,0.89,64,56,33,R1,moderado,4229
2026/02/09,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,2,34,30,3.0,0.88,26,58,35,V3,moderado,2351
2026/02/10,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,37,19,3.9,1.13,63,36,0,V4,moderado,3770
2026/02/11,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,19,34,16,7.0,0.93,18,40,25,R2,alto,3197
2026/02/12,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,0,25,18,4.2,0.76,69,77,25,R5,moderado,4023
2026/02/13,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,23,24,30,5.8,0.95,79,79,32,R1,moderado,3560
2026/02/14,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,22,24,26,4.2,1.19,75,73,3,V4,moderado,2659
2026/02/15,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,23,34,30,6.0,0.91,31,58,12,V3,alto,3624
2026/02/16,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,34,39,26,3.7,0.97,42,118,26,V5,moderado,2529
2026/02/17,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,36,28,7.0,0.78,47,21,17,R3,moderado,3514
2026/02/18,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,12,31,21,2.8,0.91,73,45,14,R2,moderado,4115
2026/02/19,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,0,37,26,5.0,1.14,26,23,13,R1,moderado,3347
2026/02/20,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,31,29,21,4.4,1.2,19,90,14,R1,moderado,4063
2026/02/21,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,29,24,3.7,0.92,84,65,19,R2,moderado,2368
2026/02/22,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,17,30,30,3.1,0.77,79,45,28,V5,moderado,3633
2026/02/23,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,36,20,5.0,0.7,33,90,18,R5,moderado,2799
2026/02/24,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,17,26,21,4.0,0.92,46,22,2,V3,moderado,4163
2026/02/25,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,25,24,3.6,0.92,81,84,3,R2,moderado,3840
2026/02/26,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,10,30,19,6.6,1.19,32,32,21,R1,alto,2759
2026/02/27,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,31,26,30,4.0,0.94,61,66,30,V4,moderado,4339
2026/02/28,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,24,26,7.3,0.7,23,109,31,R1,moderado,3797
2026/03/01,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,6,30,26,5.9,0.79,33,100,9,R5,moderado,2385
2026/03/02,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,13,35,21,6.9,1.17,41,85,12,R2,moderado,4146
2026/03/03,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,27,31,28,3.0,0.82,17,67,26,R1,moderado,3610
2026/03/04,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,32,25,7.1,1.1,17,75,7,V3,moderado,2222
2026/03/05,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,37,29,3.1,0.95,27,56,32,R1,moderado,3070
2026/03/06,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,6,38,19,6.3,0.83,19,43,5,R5,alto,4086
2026/03/07,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,2,37,28,4.9,0.91,16,123,21,R1,moderado,3023
2026/03/08,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,24,36,16,5.3,0.91,84,73,21,V3,moderado,4582
2026/03/09,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,30,26,6.6,1.09,31,38,22,R4,alto,3219
2026/03/10,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,28,38,17,3.4,1.02,58,76,26,R3,moderado,3345
2026/03/11,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,34,27,20,6.6,0.85,18,41,10,R2,alto,3965
2026/03/12,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,32,28,26,4.3,0.97,49,35,26,R3,moderado,2935
2026/03/13,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,12,37,29,5.9,1.1,36,59,32,V3,alto,3402
2026/03/14,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,30,26,20,5.8,0.95,63,27,4,R5,moderado,3743
2026/03/15,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,9,39,26,4.5,1.09,62,129,20,V4,baixo,4530
2026/03/16,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,24,19,4.5,0.87,23,97,32,R4,moderado,3943
2026/03/17,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,3,25,19,6.8,1.12,39,72,5,V5,moderado,3756
2026/03/18,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,23,35,16,4.8,1.03,80,81,30,R2,moderado,4451
2026/03/19,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,28,17,5.8,1.13,80,59,29,R3,moderado,4363
2026/03/20,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,31,39,19,5.4,0.88,35,32,25,V4,alto,3739
2026/03/21,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,27,37,30,4.9,1.08,57,54,16,V3,moderado,3595
2026/03/22,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,28,24,19,6.7,0.77,56,124,19,V3,baixo,2290
2026/03/23,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,31,28,23,7.0,0.91,28,32,7,R2,alto,3960
2026/03/24,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,27,30,5.0,0.96,37,116,12,V5,moderado,4220
2026/03/25,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,14,38,22,3.1,0.82,68,107,24,R2,baixo,2891
2026/03/26,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,34,28,27,3.1,0.77,69,76,14,R2,moderado,4446
2026/03/27,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,13,34,19,6.3,1.15,18,101,5,V4,moderado,2965
2026/03/28,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,33,29,7.3,0.78,65,27,13,R1,moderado,2493
2026/03/29,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,0,37,28,5.7,0.78,20,29,23,R4,critico,4251
2026/03/30,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,35,21,5.6,0.73,49,38,4,R2,moderado,3626
2026/03/31,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,3,31,17,4.8,0.98,75,103,29,R5,baixo,2349
2026/04/01,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,12,29,24,3.4,0.72,16,88,8,V3,moderado,4222
2026/04/02,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,29,31,16,6.4,0.85,52,66,23,V3,moderado,3683
2026/04/03,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,19,27,20,7.4,0.98,80,81,24,V5,moderado,2707
2026/04/04,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,34,16,2.7,1.16,55,117,6,R4,baixo,4273
2026/04/05,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,16,24,21,4.5,0.81,47,47,24,R5,moderado,2328
2026/04/06,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,28,33,30,3.8,0.71,69,107,15,V3,baixo,3300
2026/04/07,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,31,35,21,3.0,0.81,37,112,21,R4,moderado,2872
2026/04/08,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,9,24,23,5.1,0.98,39,38,17,R2,alto,2403
2026/04/09,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,19,31,24,5.1,0.94,48,101,30,R5,moderado,2876
2026/04/10,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,0,31,27,6.7,0.71,31,126,31,R3,moderado,3028
2026/04/11,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,39,28,2.9,1.16,52,78,24,R3,moderado,4432
2026/04/12,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,26,24,22,4.9,1.08,19,45,17,V3,moderado,4420
2026/04/13,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,34,27,2.8,0.81,74,81,21,R4,moderado,4593
2026/04/14,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,37,18,3.6,1.19,58,30,1,V4,moderado,2430
2026/04/15,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,13,26,23,2.8,1.01,60,83,6,R4,moderado,3485
2026/04/16,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,37,30,3.0,1.19,22,117,32,R4,moderado,2460
2026/04/17,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,24,21,3.3,0.75,66,129,23,R1,baixo,2632
2026/04/18,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,10,35,22,3.1,0.73,18,70,26,R5,moderado,3973
2026/04/19,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,5,24,18,2.7,0.85,85,96,24,R3,baixo,3146
2026/04/20,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,14,32,18,4.5,0.73,37,106,33,R2,moderado,2853
2026/04/21,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,12,25,24,6.1,0.86,50,105,26,R4,moderado,3408
2026/04/22,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,2,32,16,5.1,0.71,82,56,3,V3,moderado,3728
2026/04/23,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,22,36,25,6.7,1.04,57,108,33,R1,baixo,2367
2026/04/24,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,15,25,26,6.5,0.75,29,102,18,V4,moderado,2747
2026/04/25,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,2,37,20,5.9,1.01,25,113,3,V5,moderado,3448
2026/04/26,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,6,34,29,2.8,0.95,29,75,23,V5,moderado,2697
2026/04/27,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,5,35,26,2.8,0.81,60,101,35,R1,baixo,2342
2026/04/28,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,34,31,24,2.7,0.77,44,37,2,V5,moderado,2799
2026/04/29,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,3,38,19,4.0,0.78,45,74,28,R1,moderado,2289
2026/04/30,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,22,27,19,5.7,1.1,24,40,23,V4,alto,2843
2026/05/01,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,1,24,19,4.1,0.96,17,129,31,R1,moderado,3090
2026/05/02,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,29,24,6.5,1.0,25,48,17,R2,alto,3042
2026/05/03,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,31,32,28,7.4,1.07,48,96,2,R2,moderado,3494
2026/05/04,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,20,33,19,6.4,1.11,47,43,21,V5,moderado,4538
2026/05/05,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,32,39,28,3.5,0.78,77,35,10,V4,moderado,2408
2026/05/06,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,14,34,27,2.7,0.81,78,82,20,V4,moderado,4261
2026/05/07,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,0,34,28,6.2,0.81,63,123,14,R3,baixo,3110
2026/05/08,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,6,28,18,5.2,0.8,21,123,27,R3,moderado,4228
2026/05/09,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,29,39,21,2.5,1.11,18,124,25,R4,moderado,2676
2026/05/10,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,11,33,23,4.1,0.93,37,82,30,V3,moderado,2857
2026/05/11,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,0,29,30,5.0,0.88,70,52,2,R3,moderado,3409
2026/05/12,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,6,27,28,2.6,1.14,25,27,30,R4,moderado,4007
2026/05/13,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,38,21,2.9,1.05,16,109,3,R4,moderado,2872
2026/05/14,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,26,27,2.6,1.11,85,45,15,R1,moderado,3647
2026/05/15,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,7,36,30,2.6,1.14,65,76,10,V3,moderado,2851
2026/05/16,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,24,25,22,6.4,0.99,15,73,5,V5,moderado,3940
2026/05/17,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,9,37,27,4.3,0.83,36,66,19,V4,moderado,2726
2026/05/18,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,5,34,24,5.3,1.13,37,71,13,R4,moderado,3850
2026/05/19,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,25,31,29,7.4,0.97,32,51,1,R4,alto,3719
2026/05/20,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,32,26,28,4.8,1.12,59,58,14,R1,moderado,3883
2026/05/21,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,9,39,24,2.8,1.02,33,77,35,R4,moderado,2751
2026/05/22,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,37,28,6.2,1.0,68,57,24,V4,moderado,3993
2026/05/23,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,14,35,30,5.0,1.11,45,102,20,V3,moderado,3668
2026/05/24,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,13,32,18,6.4,0.83,21,49,33,R1,alto,3793
2026/05/25,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,16,30,18,3.3,0.78,71,89,15,V3,baixo,4215
2026/05/26,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,31,20,5.6,1.01,56,22,7,V5,moderado,3364
2026/05/27,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,11,33,16,4.9,1.09,55,128,6,R4,baixo,3885
2026/05/28,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,30,17,5.5,0.84,48,57,2,R2,moderado,4600
2026/05/29,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,19,33,16,4.2,1.02,49,104,15,V4,moderado,3325
2026/05/30,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,18,27,30,3.8,0.85,51,65,2,V4,moderado,3931
2026/05/31,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,39,22,2.9,0.71,50,88,16,V3,moderado,4170
2026/06/01,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,24,35,29,4.0,1.15,83,25,3,V3,moderado,3905
2026/06/02,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,18,26,21,6.1,1.13,57,107,21,R4,baixo,4517
2026/06/03,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,21,36,19,3.7,1.12,59,94,9,R5,baixo,3936
2026/06/04,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,27,28,19,3.6,0.75,52,33,17,R2,moderado,4084
2026/06/05,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,17,24,20,5.2,0.97,79,40,16,V4,moderado,2909
2026/06/06,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,9,25,27,2.9,0.81,75,41,1,R2,moderado,3129
2026/06/07,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,16,35,24,5.9,1.1,27,111,25,V5,moderado,4029
2026/06/08,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,25,17,6.7,1.19,60,88,22,R2,baixo,4004
2026/06/09,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,10,36,28,6.8,0.72,75,49,12,R1,moderado,3232
2026/06/10,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,2,29,27,5.4,0.88,81,124,12,R3,baixo,2771
2026/06/11,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,1,36,27,3.1,1.18,74,111,26,R5,baixo,4407
2026/06/12,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,26,36,25,2.9,1.17,44,119,23,R3,moderado,2984
2026/06/13,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,26,32,17,6.6,1.16,36,106,26,V3,moderado,3666
2026/06/14,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,28,30,23,6.1,1.15,59,68,1,V3,moderado,2844
2026/06/15,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,29,16,4.1,1.11,84,72,13,V4,moderado,3529
2026/06/16,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,28,29,3.1,0.73,48,125,3,R3,moderado,2292
2026/06/17,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,20,35,28,3.4,0.75,26,74,24,R3,moderado,3771
2026/06/18,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,27,21,4.8,0.7,59,34,14,R5,moderado,3217
2026/06/19,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,28,30,3.1,0.85,52,26,22,V3,moderado,3153
2026/06/20,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,32,25,24,7.3,1.19,52,112,11,R5,moderado,3862
2026/06/21,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,34,39,26,4.0,0.75,27,53,16,R5,moderado,3682
2026/06/22,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,35,16,7.0,0.98,75,128,30,R3,baixo,4527
2026/06/23,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,22,32,16,3.8,0.94,75,115,4,R1,baixo,3879
2026/06/24,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,20,31,19,5.3,0.76,83,66,34,R5,moderado,2264
2026/06/25,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,6,34,25,4.7,1.12,73,123,33,R1,baixo,4056
2026/06/26,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,21,30,25,5.3,0.87,20,54,4,R2,alto,2855
2026/06/27,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,27,28,6.8,1.19,34,21,16,V5,alto,3823
2026/06/28,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,26,29,4.2,1.13,32,71,19,V3,moderado,2418
2026/06/29,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,34,27,20,2.7,1.13,82,25,21,R3,moderado,3310
2026/06/30,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,13,28,20,7.4,0.71,16,105,24,R5,moderado,4273
2026/07/01,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,16,33,23,3.1,0.99,61,45,20,R4,moderado,4540
2026/07/02,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,31,26,4.3,0.9,20,87,33,R1,moderado,2680
2026/07/03,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,6,33,19,4.6,1.05,29,117,9,V3,moderado,2257
2026/07/04,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,15,38,21,7.3,0.77,79,95,23,V4,baixo,3250
2026/07/05,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,24,25,3.7,0.96,77,30,16,R5,moderado,4318
2026/07/06,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,0,38,21,3.2,1.09,49,98,28,V5,moderado,2957
2026/07/07,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,15,25,25,3.2,0.92,60,99,28,V5,baixo,3807
2026/07/08,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,35,37,18,3.1,0.72,80,84,34,R2,moderado,2596
2026/07/09,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,32,30,22,3.3,0.81,61,53,14,V5,moderado,4170
2026/07/10,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,22,36,29,6.8,0.79,71,44,7,V3,moderado,3910
2026/07/11,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,12,36,30,3.2,0.83,85,73,10,V4,moderado,2562
2026/07/12,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,37,22,2.7,0.97,65,74,15,V5,moderado,3705
2026/07/13,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,1,31,22,7.2,0.85,70,45,35,R1,moderado,3876
2026/07/14,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,25,28,29,6.3,1.07,23,23,34,R3,alto,3826
2026/07/15,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,30,37,20,3.2,1.04,66,30,15,R2,moderado,4386
2026/07/16,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,1,34,25,3.1,0.77,16,115,33,R2,moderado,2650
2026/07/17,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,1,37,25,4.6,0.87,23,73,28,R3,moderado,4134
2026/07/18,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,34,24,24,6.7,1.13,33,23,3,R3,alto,2419
2026/07/19,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,36,30,5.3,0.86,52,60,25,V4,moderado,3993
2026/07/20,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,24,33,23,6.7,0.95,27,64,32,R5,alto,4132
2026/07/21,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,6,26,18,4.6,1.19,78,75,27,R4,moderado,2664
2026/07/22,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,37,19,5.3,0.85,59,73,16,V5,moderado,2750
2026/07/23,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,24,18,6.0,1.09,50,78,7,R4,moderado,2348
2026/07/24,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,7,29,16,4.9,0.81,22,90,19,V5,moderado,2787
2026/07/25,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,18,25,23,3.8,0.74,80,91,2,V3,baixo,2355
2026/07/26,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,27,21,7.2,0.93,78,87,3,R2,baixo,2774
2026/07/27,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,30,25,26,4.9,0.72,16,40,21,R2,moderado,3698
2026/07/28,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,31,18,2.7,0.86,51,54,23,R5,moderado,3614
