data,talhao,loc,solo,cultura,cenario,dssat_run,dia_safra,precipitacao,temperatura,temp_maxima,temp_minima,graus_dia,evapotranspiracao,evapotranspiracao_potencial,coeficiente_cultura,umidade_solo,agua_disponivel,irrigacao_aplicada,estagio_fenologico,estresse_hidrico,produtividade,decisao_referencia
09/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,21,0.0,27.8,32.2,23.3,17.8,3.965,5.056,0.784,0.097,153,0.0,vegetativo,0.0,0,manter
10/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,22,8.6,27.0,32.2,21.7,17.0,1.259,5.311,0.237,0.113,161,0.0,vegetativo,0.166,0,aumentar_irrigacao
11/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,23,1.5,28.6,33.9,23.3,18.6,5.872,5.872,1.0,0.102,156,0.0,vegetativo,0.0,0,manter
12/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,24,0.0,28.1,33.9,22.2,18.1,2.484,4.971,0.5,0.098,154,0.0,vegetativo,0.0,0,manter
13/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,25,0.0,28.9,34.4,23.3,18.9,2.301,6.556,0.351,0.114,161,10.0,vegetativo,0.038,0,manter_irrigacao
14/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,26,2.5,29.5,35.0,23.9,19.5,7.429,7.43,1.0,0.102,156,0.0,vegetativo,0.0,0,manter
15/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,27,0.0,28.4,35.0,21.7,18.4,3.869,6.366,0.608,0.097,153,0.0,vegetativo,0.0,0,manter
16/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,28,12.4,28.3,34.4,22.2,18.3,1.769,3.877,0.456,0.117,163,0.0,vegetativo,0.0,0,manter
17/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,29,12.4,26.7,31.1,22.2,16.7,2.774,2.775,1.0,0.123,173,0.0,vegetativo,0.0,0,manter
18/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,30,2.0,27.5,32.2,22.8,17.5,3.786,3.787,1.0,0.117,170,0.0,vegetativo,0.0,0,manter
19/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,31,0.0,27.8,33.3,22.2,17.8,5.307,5.484,0.968,0.104,160,0.0,vegetativo,0.0,0,manter
20/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,32,12.4,28.3,34.4,22.2,18.3,3.422,5.348,0.64,0.121,169,0.0,vegetativo,0.0,0,manter
21/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,33,0.3,28.3,33.3,23.3,18.3,6.784,6.786,1.0,0.108,162,0.0,vegetativo,0.0,0,manter
22/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,34,2.0,28.6,33.3,23.9,18.6,4.471,4.473,1.0,0.105,159,0.0,vegetativo,0.0,0,manter
23/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,35,0.0,29.2,34.4,23.9,19.2,5.671,5.802,0.977,0.098,153,0.0,vegetativo,0.0,0,manter
24/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,36,6.6,28.1,33.9,22.2,18.1,2.366,3.322,0.712,0.109,158,0.0,vegetativo,0.0,0,manter
25/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,37,0.0,28.1,33.3,22.8,18.1,5.236,5.237,1.0,0.1,152,0.0,vegetativo,0.0,0,manter
26/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,38,0.5,28.1,33.9,22.2,18.1,6.043,6.045,1.0,0.11,157,10.0,vegetativo,0.0,0,manter_irrigacao
27/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,39,0.0,28.9,35.0,22.8,18.9,5.682,5.684,1.0,0.1,151,0.0,vegetativo,0.0,0,manter
28/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,40,0.0,28.6,35.0,22.2,18.6,6.496,6.581,0.987,0.093,144,0.0,vegetativo,0.0,0,manter
29/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,41,7.1,28.1,35.0,21.1,18.1,5.921,6.853,0.864,0.101,146,0.0,vegetativo,0.0,0,manter
30/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,42,9.9,28.0,33.9,22.2,18.0,3.543,3.544,1.0,0.117,162,9.0,vegetativo,0.0,0,manter_irrigacao
31/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,43,20.8,27.5,32.2,22.8,17.5,5.274,5.276,1.0,0.128,177,0.0,vegetativo,0.0,0,manter
01/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,44,10.2,26.9,32.2,21.7,16.9,2.828,2.83,0.999,0.134,184,0.0,emergencia,0.0,0,manter
02/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,45,0.0,27.8,32.8,22.8,17.8,5.082,5.084,1.0,0.115,168,0.0,emergencia,0.0,0,manter
03/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,46,0.0,26.9,32.2,21.7,16.9,4.591,4.593,1.0,0.106,159,0.0,emergencia,0.0,0,manter
04/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,47,0.0,28.6,35.0,22.2,18.6,5.756,5.758,1.0,0.1,154,0.0,emergencia,0.0,0,manter
05/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,48,0.0,28.3,35.0,21.7,18.3,4.434,4.44,0.999,0.095,149,0.0,emergencia,0.0,0,manter
06/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,49,9.1,27.2,33.3,21.1,17.2,4.515,4.809,0.939,0.11,154,0.0,emergencia,0.0,0,manter
07/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,50,0.0,27.2,33.3,21.1,17.2,4.973,4.976,0.999,0.102,149,0.0,emergencia,0.0,0,manter
08/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,51,22.6,27.2,33.9,20.6,17.2,4.987,4.989,1.0,0.121,166,0.0,emergencia,0.0,0,manter
09/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,52,0.0,27.5,33.9,21.1,17.5,5.364,5.366,1.0,0.11,161,0.0,emergencia,0.0,0,manter
10/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,53,49.5,27.2,33.9,20.6,17.2,3.944,3.946,0.999,0.145,202,0.0,emergencia,0.0,0,manter
11/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,54,0.0,25.0,29.4,20.6,15.0,5.11,5.113,0.999,0.121,175,0.0,emergencia,0.0,0,manter
12/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,55,25.4,24.1,27.2,21.1,14.1,1.747,1.749,0.999,0.143,198,0.0,emergencia,0.0,0,manter
13/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,56,8.9,26.1,30.6,21.7,16.1,3.314,3.317,0.999,0.143,202,0.0,emergencia,0.0,0,manter
14/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,57,0.0,28.0,33.3,22.8,18.0,5.052,5.055,0.999,0.12,175,0.0,emergencia,0.0,0,manter
15/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,58,0.0,27.4,32.8,22.2,17.4,5.904,5.908,0.999,0.108,161,0.0,emergencia,0.0,0,manter
16/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,59,0.0,26.9,33.3,20.6,16.9,5.324,5.328,0.999,0.102,155,0.0,emergencia,0.0,0,manter
17/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,60,0.0,27.7,33.3,22.2,17.7,5.626,5.63,0.999,0.097,150,0.0,emergencia,0.0,0,manter
18/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,61,0.0,25.5,30.0,21.1,15.5,4.679,4.682,0.999,0.093,145,0.0,emergencia,0.0,0,manter
19/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,62,0.0,28.5,34.4,22.8,18.5,5.809,5.813,0.999,0.107,149,10.0,emergencia,0.0,0,manter_irrigacao
20/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,63,0.3,29.1,35.0,23.3,19.1,5.554,5.557,0.999,0.1,144,0.0,emergencia,0.0,0,manter
21/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,64,0.0,29.1,35.0,23.3,19.1,4.608,4.612,0.999,0.094,139,0.0,florescimento,0.0,0,manter
22/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,65,0.0,28.2,35.0,21.7,18.2,4.329,4.333,0.999,0.105,144,10.0,florescimento,0.0,0,manter_irrigacao
23/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,66,25.9,26.3,32.2,20.6,16.3,3.43,3.434,0.999,0.124,167,0.0,florescimento,0.0,0,manter
24/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,67,2.3,27.1,33.3,21.1,17.1,5.469,5.474,0.999,0.118,164,0.0,florescimento,0.0,0,manter
25/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,68,12.2,26.8,32.8,21.1,16.8,5.583,5.589,0.999,0.125,170,0.0,florescimento,0.0,0,manter
26/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,69,0.0,28.2,33.9,22.8,18.2,5.341,5.348,0.999,0.112,163,0.0,florescimento,0.0,0,manter
27/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,70,6.1,27.9,33.3,22.8,17.9,4.087,4.093,0.999,0.117,165,0.0,florescimento,0.0,0,manter
28/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,71,2.5,27.9,33.3,22.8,17.9,5.183,5.19,0.999,0.114,162,0.0,florescimento,0.0,0,manter
29/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,72,0.8,27.4,33.3,21.7,17.4,6.028,6.036,0.999,0.108,157,0.0,enchimento_graos,0.0,0,manter
30/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,73,0.0,27.9,33.9,22.2,17.9,4.715,4.723,0.998,0.103,152,0.0,enchimento_graos,0.0,0,manter
31/08/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,74,11.9,27.6,33.3,22.2,17.6,3.745,3.753,0.998,0.117,160,0.0,enchimento_graos,0.0,0,manter
01/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,75,3.0,26.3,32.2,20.6,16.3,4.609,4.618,0.998,0.115,159,0.0,enchimento_graos,0.0,0,manter
02/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,76,0.0,27.9,33.3,22.8,17.9,5.353,5.364,0.998,0.106,153,0.0,enchimento_graos,0.0,0,manter
03/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,77,0.0,26.6,30.0,23.3,16.6,3.019,3.03,0.996,0.103,150,0.0,enchimento_graos,0.0,0,manter
04/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,78,9.1,24.4,27.2,21.7,14.4,1.26,1.268,0.994,0.116,158,0.0,enchimento_graos,0.0,0,manter
05/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,79,48.0,27.6,32.2,23.3,17.6,3.138,3.155,0.995,0.145,200,0.0,enchimento_graos,0.0,0,manter
06/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,80,11.2,27.3,32.8,22.2,17.3,4.409,4.431,0.995,0.146,206,0.0,enchimento_graos,0.0,0,manter
07/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,81,0.0,27.9,33.9,22.2,17.9,5.324,5.353,0.995,0.122,177,0.0,enchimento_graos,0.0,0,manter
08/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,82,0.0,27.9,33.9,22.2,17.9,4.125,4.152,0.993,0.111,164,0.0,enchimento_graos,0.0,0,manter
09/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,83,17.0,25.9,31.1,21.1,15.9,3.399,3.423,0.993,0.128,177,0.0,enchimento_graos,0.0,0,manter
10/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,84,0.0,26.0,30.0,22.2,16.0,4.048,4.087,0.99,0.114,165,0.0,enchimento_graos,0.0,0,manter
11/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,85,0.8,26.8,31.1,22.8,16.8,4.161,4.196,0.992,0.11,161,0.0,enchimento_graos,0.0,0,manter
12/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,86,13.5,27.4,31.1,23.9,17.4,3.644,3.689,0.988,0.123,171,0.0,enchimento_graos,0.0,0,manter
13/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,87,7.9,27.9,32.2,23.9,17.9,3.668,3.715,0.987,0.126,175,0.0,enchimento_graos,0.0,0,manter
14/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,88,16.3,27.7,31.7,23.9,17.7,2.405,2.439,0.986,0.137,189,0.0,enchimento_graos,0.0,0,manter
15/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,89,5.6,26.0,28.9,23.3,16.0,2.206,2.239,0.985,0.137,191,0.0,enchimento_graos,0.0,0,manter
16/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,90,27.7,25.1,29.4,21.1,15.1,2.761,2.805,0.984,0.151,214,0.0,enchimento_graos,0.0,0,manter
17/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,91,0.0,27.0,31.1,23.3,17.0,3.527,3.586,0.984,0.127,187,0.0,enchimento_graos,0.0,0,manter
18/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,92,0.0,27.0,32.2,22.2,17.0,4.373,4.425,0.988,0.113,168,0.0,enchimento_graos,0.0,0,manter
19/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,93,0.0,26.7,32.2,21.7,16.7,4.093,4.136,0.99,0.106,160,0.0,enchimento_graos,0.0,0,manter
20/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,94,0.0,26.7,32.2,21.7,16.7,4.508,4.545,0.992,0.101,155,0.0,enchimento_graos,0.0,0,manter
21/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,95,0.0,28.1,32.2,24.4,18.1,2.593,2.623,0.989,0.114,160,8.0,enchimento_graos,0.0,0,manter_irrigacao
22/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,96,5.6,27.9,31.7,24.4,17.9,2.549,2.575,0.99,0.117,163,0.0,enchimento_graos,0.0,0,manter
23/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,97,1.0,24.3,27.8,21.1,14.3,2.946,3.015,0.977,0.113,161,0.0,enchimento_graos,0.0,0,manter
24/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,98,28.2,25.4,29.4,21.7,15.4,1.363,1.397,0.976,0.137,188,0.0,enchimento_graos,0.0,0,manter
25/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,99,3.0,24.3,27.8,21.1,14.3,1.968,2.018,0.975,0.135,188,0.0,enchimento_graos,0.0,0,manter
26/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,100,45.0,25.3,30.0,21.1,15.3,2.57,2.638,0.974,0.156,227,0.0,enchimento_graos,0.0,0,manter
27/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,101,6.9,26.4,32.2,21.1,16.4,3.948,4.04,0.977,0.152,226,0.0,enchimento_graos,0.0,0,manter
28/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,102,0.0,26.4,32.2,21.1,16.4,4.167,4.26,0.978,0.129,198,0.0,enchimento_graos,0.0,0,manter
29/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,103,61.0,25.3,30.6,20.6,15.3,2.008,2.067,0.971,0.163,244,0.0,enchimento_graos,0.0,0,manter
30/09/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,104,0.0,25.0,31.7,18.9,15.0,3.727,3.838,0.971,0.138,216,0.0,enchimento_graos,0.0,0,manter
01/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,105,2.0,25.0,30.6,20.0,15.0,3.867,3.953,0.978,0.129,200,0.0,enchimento_graos,0.0,0,manter
02/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,106,0.0,25.3,31.1,20.0,15.3,4.5,4.614,0.975,0.114,175,0.0,enchimento_graos,0.0,0,manter
03/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,107,0.0,25.3,30.6,20.6,15.3,4.582,4.67,0.981,0.105,162,0.0,enchimento_graos,0.0,0,manter
04/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,108,0.0,22.9,31.1,15.6,12.9,3.695,3.761,0.982,0.115,164,8.0,enchimento_graos,0.0,0,manter_irrigacao
05/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,109,0.0,23.2,31.1,16.1,13.2,4.57,4.62,0.989,0.107,158,0.0,enchimento_graos,0.0,0,manter
06/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,110,0.0,17.3,26.7,8.9,7.3,4.277,4.316,0.991,0.102,153,0.0,enchimento_graos,0.0,0,manter
07/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,111,0.0,20.4,28.9,12.8,10.4,4.444,4.473,0.994,0.097,148,0.0,enchimento_graos,0.0,0,manter
08/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,112,0.0,18.1,27.8,9.4,8.1,4.308,4.331,0.995,0.093,144,0.0,enchimento_graos,0.0,0,manter
09/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,113,0.0,20.0,30.0,11.1,10.0,3.565,3.582,0.995,0.11,152,12.0,enchimento_graos,0.0,0,manter_irrigacao
10/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,114,0.0,22.1,29.4,15.6,12.1,3.46,3.474,0.996,0.103,148,0.0,enchimento_graos,0.0,0,manter
11/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,115,0.5,22.4,29.4,16.1,12.4,4.12,4.13,0.998,0.098,144,0.0,enchimento_graos,0.0,0,manter
12/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,116,0.0,18.9,28.9,10.0,8.9,4.241,4.293,0.988,0.093,140,0.0,maturacao,0.0,0,manter
13/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,117,0.0,21.8,28.9,15.6,11.8,2.065,2.102,0.982,0.091,138,0.0,maturacao,0.0,0,manter
14/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,118,0.0,20.8,26.1,16.1,10.8,2.291,2.319,0.988,0.104,144,8.0,maturacao,0.0,0,manter_irrigacao
15/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,119,0.0,20.1,28.3,12.8,10.1,3.798,3.825,0.993,0.097,140,0.0,maturacao,0.0,0,manter
16/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,120,0.0,22.3,30.0,15.6,12.3,3.296,3.343,0.986,0.092,137,0.0,maturacao,0.0,0,manter
17/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,121,0.0,24.6,30.6,19.4,14.6,3.904,4.081,0.957,0.087,133,0.0,maturacao,0.0,0,manter
18/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,122,0.0,25.0,30.6,20.0,15.0,1.892,3.413,0.554,0.085,131,0.0,maturacao,0.0,0,manter
19/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,123,0.0,24.4,29.4,20.0,14.4,1.223,2.779,0.44,0.084,130,0.0,maturacao,0.0,0,manter
20/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,124,0.0,25.0,30.6,20.0,15.0,1.135,3.089,0.367,0.084,129,0.0,maturacao,0.0,0,manter
21/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,125,0.0,23.8,30.0,18.3,13.8,1.094,3.592,0.305,0.083,128,0.0,maturacao,0.0,0,manter
22/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,126,0.0,24.8,32.2,18.3,14.8,0.839,3.298,0.254,0.082,127,0.0,maturacao,0.0,0,manter
23/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,127,0.0,23.4,31.1,16.7,13.4,0.677,3.214,0.211,0.082,126,0.0,maturacao,0.0,0,manter
24/10/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,128,0.3,22.3,30.6,15.0,12.3,0.618,3.58,0.173,0.081,126,0.0,colheita,0.0,3114,manter
19/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,sem_irrigacao,2,1,0.0,27.9,35.6,20.0,17.9,3.538,6.745,0.525,0.1,155,0.0,germinacao,0.0,0,manter
20/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,sem_irrigacao,2,2,0.0,28.7,36.1,21.1,18.7,0.0,4.972,0.3,0.1,155,0.0,germinacao,0.0,0,manter
21/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,sem_irrigacao,2,3,38.9,27.0,32.8,21.1,17.0,0.154,5.168,0.03,0.141,193,0.0,germinacao,0.0,0,manter
22/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,sem_irrigacao,2,4,0.0,26.2,32.8,19.4,16.2,4.979,5.068,0.982,0.114,172,0.0,germinacao,0.0,0,manter
23/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,sem_irrigacao,2,5,0.0,26.2,32.2,20.0,16.2,0.616,5.628,0.109,0.107,164,0.0,germinacao,0.0,0,manter
24/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,sem_irrigacao,2,6,19.0,26.7,33.3,20.0,16.7,0.286,6.045,0.047,0.133,183,0.0,vegetativo,0.0,0,manter
25/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,sem_irrigacao,2,7,10.2,26.7,33.3,20.0,16.7,5.411,5.537,0.977,0.127,186,0.0,vegetativo,0.0,0,manter
26/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,sem_irrigacao,2,8,11.9,26.5,32.2,20.6,16.5,2.325,2.654,0.876,0.136,195,0.0,vegetativo,0.0,0,manter
27/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,sem_irrigacao,2,9,1.8,25.1,30.6,19.4,15.1,5.515,6.072,0.908,0.122,189,0.0,vegetativo,0.0,0,manter
